,doc_id,hotel_name,city,country,zip,num_reviews,overall_ratingsource,neg,neu,pos,compound,cleaniness,room,service,location,value,food,cleaniness_var,room_var,service_var,location_var,value_var,food_var
0,china_beijing_holiday_inn_central_plaza,holiday inn central plaza,0,2,100053,236,4.480582524,0.0308093990801937,0.8019205220357571,0.16733882069868738,0.9388059863551914,0.002262303956581842,0.00018077799381621364,0.0005647470139700125,5.9379184789496796e-05,-2.4132388440819276e-05,0.0002793953369102486,1.3285624136458274e-05,2.0567528837160957e-05,4.55284074505925e-06,3.6292974561219244e-07,6.106688898181369e-06,2.6597535753905637e-06
1,china_beijing_hilton_beijing_wangfujing,hilton beijing wangfujing,0,2,100006,73,4.751724138,0.031162477726718554,0.8081890180999718,0.160592516177436,0.9492704398386945,0.006587889587045546,-0.0012635593485260566,0.0033592797524148927,0.00046641032855043924,-0.003436806402200757,0.002951639626121479,0.0005307877272799711,0.0006326426146982334,0.00046394556634892187,4.175911070418297e-06,0.0004981446483954765,0.000460918832702191
2,china_beijing_hotel_g,hotel g,0,2,100020,109,4.625,0.02829174672888644,0.7687417879037425,0.20313752401866592,0.964136110348614,0.0026077408729069445,0.0042328905902883395,0.0007884634565941181,0.0004055661480860493,3.008773253077393e-05,0.0013910424286487971,6.532968024211368e-05,9.07057488706446e-05,6.954196919057195e-06,6.400935793535389e-06,1.5998861603097853e-05,1.671256764640904e-05
3,china_beijing_the_regent_beijing,the regent beijing,0,2,100005,110,4.610416667,0.035033399252911455,0.786334377059987,0.17858943089430893,0.9388063063063065,0.002603430957089494,0.002185057444203786,0.0005105824465580563,0.0002364080107982547,-0.0003801166148727124,6.474244279122328e-05,6.666792710712203e-05,0.00010745286573921206,1.0576405171217788e-05,3.875924721882352e-06,1.8158503165132262e-05,4.6526581274180486e-07
4,china_beijing_the_st_regis_beijing,the st regis beijing,0,2,100020,88,4.5569230769999995,0.03506773147592168,0.7976460910291817,0.1670556623033506,0.9057830971538365,0.005204622179523105,0.0028274822198203968,0.0017720133968482713,0.0003469303337202941,-0.0012909811456707097,0.00032357925356604354,0.0001910925765635266,0.00024684351111563935,4.3091573858126835e-05,4.640392939198842e-06,2.7856986529329157e-05,4.772827496565173e-06
5,china_beijing_park_plaza_beijing_wangfujing,park plaza beijing wangfujing,0,2,100005,265,4.622033898,0.033928505361241486,0.79073978280977,0.1753619437497858,0.9454237127881883,0.001772654297606231,0.0005819445885370752,0.0003768894302843549,0.000379876262256526,-0.0002658280455232204,0.00025595321328869585,1.240232980967988e-05,1.9519695229091267e-05,4.297374426430252e-06,2.4997007774211445e-06,5.096048234804686e-06,3.7352768930473034e-06
6,china_beijing_the_ritz_carlton_huamao_center,the ritz carlton huamao center,0,2,100025,32,4.6,0.03142727886563133,0.7958029709655638,0.1727817690749493,0.9020176502363267,0.013806251737697103,0.007232791833816579,-0.0014973984191921192,0.0020336020971521624,-0.003161615760416253,0.0037454819875283,0.0009476180043788606,0.0014733265159794602,0.0005979320618228842,7.112902358416048e-05,0.00016132331924229937,0.00037571702951988986
7,china_beijing_the_opposite_house,the opposite house,0,2,100027,31,4.74,0.028856082856701187,0.7697624053176688,0.2014532385221828,0.9015159530066471,0.013636129419094329,0.00732163183855872,0.0026232334162462467,0.0006042805548138676,-0.005321416358670957,0.006661139139111005,0.00067579087440142,0.0007038840002942429,5.350607867961754e-05,1.1684959645636981e-05,0.00023519777441707965,0.00030867491914268974
8,china_beijing_double_happiness_courtyard_hotel,double happiness courtyard hotel,0,2,100010,34,4.460606061,0.034788513680059155,0.7850925560759183,0.18006593542026128,0.9436014173034263,0.015247993865198697,-0.008120395475584038,0.00020882973187631802,0.0014686549995891875,-0.0001609015966915893,0.00428614466080574,0.0005453431710772391,0.001036763228735556,1.526344992043721e-06,7.549316277364107e-05,0.00018439633971524023,0.00017299300086797459
9,china_beijing_intercontinental_financial_street_beijing,intercontinental financial street beijing,0,2,100140,68,4.468852459,0.03994658606679218,0.7879550094143295,0.17213655732831235,0.9360517391735209,0.0033042173365233516,0.0001160864702634595,-6.370598977872789e-05,0.0006299814544785311,-0.0022452822175347198,0.0,8.289723018087274e-05,0.0003169237353979633,1.0564013214781155e-05,2.7384487676095095e-05,9.214697597875882e-05,0.0
10,china_beijing_michael_s_house_in_beijing,michael s house in beijing,0,2,100088,41,4.525,0.027106065980844276,0.8021076031689727,0.1708526664301762,0.9478054629301168,0.01507489323554727,-0.0037920973680809346,0.0027388897596871725,0.000354735721887194,0.0025573970647681434,0.002601395293839423,0.0005692458647856708,0.000900705578741712,0.00011353198186653082,5.285172160078807e-06,0.00011029148460681004,0.00020784246796961073
11,china_beijing_spring_garden_courtyard_hotel,spring garden courtyard hotel,0,2,100034,19,4.522222222,0.02313187118267629,0.8136821210438647,0.16291199333703502,0.9584133814547473,0.0178868882366939,-0.022976653182094603,0.0009650723143227307,0.0012294756881097804,0.0,0.009624282805848603,0.0016071025134496784,0.0036790085548945146,1.8627291437444625e-05,3.0232209353060364e-05,0.0,0.0008818339432986545
12,china_beijing_grand_hyatt_beijing,grand hyatt beijing,0,2,100738,197,4.461038961,0.03467332533352157,0.7843062751464674,0.18098167101950538,0.9310597044775417,0.0022037920598723245,-1.2812744534141303e-05,0.0003295204935189644,0.00017961138246950977,-0.0011585050648779145,0.0005584027026970361,2.1170121932621036e-05,3.305626781654494e-05,3.4558324237451395e-06,1.1768397259605814e-06,1.37985122363e-05,7.482202455524672e-06
13,china_beijing_raffles_beijing_hotel,raffles beijing hotel,0,2,100004,101,4.536956522,0.037062802463704345,0.7961479322481303,0.16678211614606242,0.8840158710954689,0.004050290664149429,0.0005136276850661416,0.00028084008559749527,0.0005787654995963591,-0.0016604803540080045,0.0010309927857200826,0.00010822295733827557,0.00017586568385931324,5.117595211797773e-06,9.088962306458348e-06,9.375455680316752e-05,6.650206861000037e-05
14,china_beijing_courtyard_7,courtyard 7,0,2,100009,13,4.64,0.01891549975857074,0.7621564461612748,0.21898020280057942,0.9489562047320136,0.016513761467889906,-0.05221310156124256,0.0,0.0011588604538870111,0.0,0.0,0.0011951762643444067,0.004729755569031759,0.0,1.8801405722164925e-05,0.0,0.0
15,china_beijing_kellys_courtyard,kellys courtyard,0,2,100034,7,4.725,0.022999379267535692,0.7853805090006207,0.1916201117318436,0.9777643699565486,0.08014345816952893,-0.03420925581074557,0.007172908476446652,0.0,0.0,0.0,0.008136817881482735,0.015027680322005505,0.0004116049280918418,0.0,0.0,0.0
16,china_beijing_the_ritz_carlton_beijing_financial_street,the ritz carlton beijing financial street,0,2,100032,29,4.592307691999999,0.0274335643266044,0.7966536607411873,0.17559174450135584,0.9464057547454054,0.009204093732080202,0.008110682385872153,0.00273109856252855,0.0,-0.007197076461040538,0.0010448152863765806,0.0005356743453234574,0.000707640181124226,0.00012027889671939857,0.0,0.000463350340271572,3.27491694793853e-05
17,china_beijing_templeside_deluxe_hutong_house_hotel,templeside deluxe hutong house hotel,0,2,100034,7,4.75,0.015481505515898766,0.7680661907852043,0.21629331602855284,0.9857636599610642,0.0865239022279905,0.043406157617708566,0.0,0.0,0.0,0.0,0.01255916057777866,0.010839953702735416,0.0,0.0,0.0,0.0
18,china_beijing_the_peninsula_beijing,the peninsula beijing,0,2,100006,211,4.444776119,0.03891958481638568,0.7951656684925085,0.16592361303523093,0.8264495044651416,0.0014552975551649313,-0.0002736356204825199,0.00028915407993558464,0.0004175251337656828,-0.0007018665269088615,0.0008904452746929382,1.5346439835154272e-05,2.584258921862106e-05,2.232209340765005e-06,3.607457845387824e-06,1.0436556733442401e-05,8.929608257720987e-06
19,china_beijing_sofitel_wanda_beijing,sofitel wanda beijing,0,2,100022,47,4.3302325580000005,0.03776072890532153,0.7765902548527666,0.1854411725868216,0.7982619569523305,0.004392619321596326,0.003748548144994165,0.002848465412838845,0.0014067161263026271,-0.0023364423017325246,0.0003287727344998478,0.00019046189014261771,0.0004809130757622785,0.00013620475926305565,4.7374815690056614e-05,0.0001648473393446285,5.188392525624357e-06
20,china_beijing_china_world_hotel,china world hotel,0,2,100004,78,4.211320755,0.03736157293624403,0.7990398294058112,0.16344513517420847,0.8295430172039905,0.005483771866416076,-0.002040263119849646,0.00036504264854705796,0.0004924461471736302,-0.0029700375885499493,0.002248988000578285,0.0002729406927548207,0.00039249607400594015,2.5166598777144193e-05,4.916289719838205e-06,6.580459850032257e-05,0.0002304811222560783
21,china_beijing_legendale_hotel_beijing,legendale hotel beijing,0,2,100005,1,4.8,0.056720156555773,0.8379138943248532,0.10464579256360079,0.8525866927592956,0.2400521852576647,0.2400521852576647,0.0,0.0,0.0,0.0,0.11525010329396035,0.11525010329396035,0.0,0.0,0.0,0.0
22,china_beijing_marriott_hotel_beijing_city_wall,marriott hotel beijing city wall,0,2,100005,32,4.266666667,0.040215275961286955,0.8111663614962069,0.1488223907925713,0.8230728354695268,0.009120493606807098,0.008470403594343832,0.0008578110815343663,-0.0018541028757828005,-0.00454293671431429,0.001654075179640258,0.0006711097530298592,0.0006162466766143569,2.4282715102904256e-05,0.00018988571619105336,0.00032980210751522423,4.6496188585669586e-05
